Programme ID,Cycle,Title,Abstract,Status,PI,Allocation Status,Allocated Time (h)
117.2A2S,P117,The next frontier. A study on the nature of a newly identified population of forming stars in the Galaxy,"Gaia XP spectra have revealed a large, previously unrecognised population of low-accreting Young Stellar Objects (YSOs) overlooked in earlier surveys.  This new population is mostly spatially dispersed, located away from classical star-forming regions. The nature of these YSOs is uncertain: they may be long-lived YSOs, recently ejected stars, or evidence for in-situ isolated star formation. To distinguish between these scenarios, we propose X-Shooter spectroscopy of the complete, volume-limited sample of 103 Gaia-identified YSOs within 200 pc. X-Shooter uniquely enables simultaneous measurements of Li I absorption (a proxy of age), mass accretion rates, and radial velocities. These data will clarify the nature of this dispersed population and complete our view of star formation in the local Galaxy. This survey will deliver a legacy dataset of immense archival value, advancing models of protoplanetary disk and planet formation, while calibrating the XP spectra for the upcoming Gaia DR4.",Valid,Dr. Miguel Vioque,No,-
117.29KM,P117,The role of the environment on mass accretion in the Orion Nebula,"Ultimately understanding planet and star formation, requires knowing how pre-main sequence (PMS) stars accrete mass. Our recent photometric study of PMS in the Orion Nebula suggests that Macc correlates with stellar and ISM densities, indicating potential environmental effects on disc evolution, beyond external UV radiation. We propose to obtain X-Shooter observations of 77 PMS in Orion within two distinct density regimes: high-density (>100 stars/pc², dense ISM) and low-density (<10 stars/pc², no ISM). The spectroscopic data across UV-optical-NIR wavelengths will provide accurate measurements of stellar parameters, extinction, and accretion properties through multiple diagnostics. The observations will allow us to quantify how the stellar and ISM density influence protoplanetary disc evolution. This study will quantify the for environmental impact on disc accretion, advancing our understanding of planetary system formation in different environments.",Valid,Dr. Giacomo Beccari,Yes,16.3h
116.292Y,P116,Capturing dusty winds in the Orion proplyds,"The tremendous advancement in the characterization of exoplanetary systems is revealing a wide diversity in their bulk properties. Surveys of protoplanetary disks are leading to first attempts in comparing properties of the planet formation environments to the observed exoplanets. However, the majority of stars and detected exoplanets has formed in highly irradiated environments, within massive stellar clusters. Similar conditions can be found in the centre of the Orion Nebula Cluster. We propose to image 8 proplyds at high angular resolution (~40 mas, 16 au) at the center of the ONC with SPHERE. These observations will trace whether micron-size dust particles are entrained in the photoevaporative winds, removing dust mass from the planet forming regions. The synergy of MUSE NFM and ALMA data will reveal how the dust entrainment correlates with the evaporative mass loss rates and with the disk properties, allowing for long-awaited constraints on photoevaporative models.",Valid,Prof. Stefano Facchini,Yes,8.0h
116.2936,P116,Completing JWST: VISIR observations of evolved stars in Westerlund 1,"The late evolution of massive stars involves material ejection through winds and outflows. Despite their importance for the evolution of the star itself and the influence of their environment, our understanding of the mass ejection is still limited. JWST MIRI observations serendipitously detected multiple winds from evolved stars in Westerlund 1, the most massive young star cluster in the Galaxy. This allows a comparative study of winds from a coeval sample of stars. However, the MIRI observations are saturated even in the shortest exposure. Here we propose VISIR broad band imaging in similar bands as the MIRI observations to retrieve the information of the winds in the closest vicinity of the stars. Interesting in their own rights, the VISIR observations will release the full potential of the JWST data. The sample of eight stars can be covered with six VISIR pointings.",Valid,Dr. M. Andersen,Yes,10.7h
116.295S,P116,Confirming the environmental impact on mass accretion in the Orion Nebula,"We propose X-Shooter observations of pre-main sequence (PMS) stars in the Orion Nebula to investigate how environmental factors influence mass accretion rates (Macc). Our photometric study revealed that Macc correlate with stellar and ISM densities, suggesting potential environmental effects on disc evolution. We will observe 77 PMS stars from two distinct density regimes: high-density (41 stars, >100 stars/pc² and dense ISM) and low-density (36 stars, <10 stars/pc²). The spectroscopic data across UV-optical-NIR wavelengths will provide accurate measurements of stellar parameters, extinction, and accretion properties through multiple diagnostics. By targeting stars at varying distances from ionising sources, we will quantify how the ISM density and external UV radiation influence protoplanetary disc evolution. This study will provide definitive evidence for environmental impact on disc accretion, advancing our understanding of planetary system formation in different environments.",Valid,Dr. Giacomo Beccari,No,-
116.2967,P116,MUSE exploration of intermediate-UV radiation in sigma Orionis: testing disk evolution using proplyds,"The multitude of exoplanets we know are still awaiting an explanation of how they were born. Understanding how planets form requires a detailed knowledge of their birth environments, the protoplanetary disks. It is known that the effect of external photoevaporation due to high energy UV radiation from massive stars at the center of young stellar clusters plays a significant role in shaping the disk sizes and in shortening their lifetimes, and thus the timescale of planet formation. Yet, after multiple studies in the high-UV environment of the young (1-2 Myr) Orion Nebula Cluster, many open questions are still remaining, especially about the effect of intermediate-UV environments and at late stages of disk evolution. With the unique capabilities of MUSE, we will measure externally-induced photoevaporation rates and lifetimes of protoplanetary disks in sigma Orionis (~3-5 Myr), and therefore constrain disk photoevaporation physics in a still unexplored part of the UV-age parameter space.",Valid,Dr. Carlo Felice Manara,No,-
116.28Y0,P116,Targeting a key signature of external photoevaporation with MUSE-NFM,"Studying the evolution of protoplanetary disks is the key to understand the processes shaping planetary systems and the observed exoplanet diversity. Most planetary systems, including our Solar System, formed in massive star clusters where UV radiation from OB stars drives external photoevaporation. Proplyds, externally photoevaporating disks, are known to exhibit forbidden emission lines which trace both internal and external photoevaporation. 
Thanks to the advent of MUSE-NFM, a tracer for solely externally launched winds, [CI] at 8727 A, has been identified in proplyds in the Orion Nebula Cluster. The [CI] emission is extremely rare in low-mass star-forming regions compared to massive clusters, and could change how the physical conditions of winds are determined in these systems. We propose to observe eight proplyds with MUSE-NFM, which also have disk properties available from ALMA data. This will allow us to study [CI] in a larger sample than the previous six overlapping targets.",Valid, M. L. Aru,No,-
115.28B2,P115,Completing JWST: VISIR observations of evolved stars in Westerlund 1,"The late evolution of massive stars involves material ejection through winds and outflows. Despite their importance for the evolution of the star itself and the influence of their environment, our understanding of the mass ejection is still limited. JWST MIRI observations serendipitously detected multiple winds from evolved stars in Westerlund 1, the most massive young star cluster in the Galaxy. This allows a comparative study of winds from a coeval sample of stars. However, the MIRI observations are saturated even in the shortest exposure. Here we propose VISIR broad band imaging in similar bands as the MIRI observations to retrieve the information of the winds in the closest vicinity of the stars. Interesting in their own rights, the VISIR observations will release the full potential of the JWST data. The sample of eight stars can be covered with six VISIR pointings.",Valid,Dr. M. Andersen,No,-
115.28CZ,P115,Measuring disk fractions in massive star-forming regions,"Planets form in disks around low-mass stars. A key constraint for planet formation models is the disk lifetime. Most measurements of disk lifetimes target nearby quiescent clusters but most stars and thus most planets (including the Solar System) form in massive star-forming regions where external photoevaporation will destroy their planet-forming disks. In order to truly constrain the disk lifetime, a better test is to measure the surviving disk fraction around low-mass stars in a massive region. We propose to make this critical measurement with wide-field near-IR images of all massive clusters within 2 kpc using HAWK-I; we request 3 clusters in P115. We request J-, H-, K-band, and Br-gramma images. When combined with data available in the literature and/or archive, we will identify cluster members and measure the surviving disk fraction. Results will provide an essential constraint on how much external photoevaporation reduces the planet-formation timescale in typical environments.",Valid,Dr. Megan Reiter,No,-
114.272R,P114,Disk survival in typical star/planet forming conditions,"Most stars and planets form in massive and relatively dense clusters but most studies have focused on low-mass regions. In massive regions, external ionization from nearby high-mass stars truncates and destroys planet-forming disks and formed planetary systems. Models are beginning to include feedback from the environment but observations are lacking. Therefore, we propose to map 2 massive clusters with MUSE and 1 with HAWK-I to provide a statistical sample down to the low-mass population of these more typical star forming environments. With the spatial and spectral sampling of integral-field-unit (IFU) spectroscopy, we will determine: spectral types, accretion rates, ages, stellar kinematics, nebular excitation, and extinction. We target a range of densities and FUV fluxes over which external photoevaporation significantly impacts disks. Data and outputs from this program will provide significant legacy value to the community, including identifying prime targets for the ELT.",Valid,Dr. Megan Reiter,Yes,28.0h
114.2757,P114,"Spectrally resolving the [CI]8727, 9824, and 9850 AA lines with UVES to decipher external photoevaporation","The effect of external photoevaporation from massive stars on the evolution of protoplanetary disks must be deciphered to understand how a system like our own did form and evolve. We have long been studying prototypical disks in massive star-forming environments, known as proplyds, targeting forbidden emission lines known to trace both internal as well as external photoevaporation. Thanks to the advent of MUSE-NFM, images of proplyds have been taken at all optical forbidden emission lines, revealing the potential of a new external photoevaporation tracer, the [CI] lines. These lines are extremely rarely detected in low-mass star-forming regions, and could be a tell-tale tracer of external photoevaporation and a potentially game changer in the determination of the physical conditions of winds in these systems.
Here we propose to observe these lines with UVES at 3 km/s resolution to measure their width and peak velocity to confirm the origin in a slow externally photoevaporated wind.",Valid,Dr. Carlo Felice Manara,Yes,16.0h
,P114,Targeting a key signature of external photoevaporation with MUSE NFM,"Studying the evolution of protoplanetary disks is the key to understand the processes shaping planetary systems and the observed exoplanet diversity. Most planetary systems, including our Solar System, formed in massive star clusters where UV radiation from OB stars drives external photoevaporation. Proplyds, externally photoevaporating disks, have been particularly studied in the Orion Nebula Cluster, and are known to exhibit forbidden emission lines which trace both internal and external photoevaporation. 
Thanks to the advent of MUSE NFM, a tracer for solely external photoevaporation, [CI], has been identified. The [CI] emission is extremely rare in low-mass star-forming regions compared to massive clusters, and could therefore change how the physical conditions of winds in these systems are determined. We propose to observe eight proplyds with MUSE in NFM, which allow further investigation into the [CI] tracer previously only been studied in a sample of four proplyds.",Invalid, M. L. Aru,No,-
113.26CR,P113,Characterizing the host stars of proto-planetary disks in extreme radiation environments,"Our knowledge of the formation history of planetary systems is obtained by comparing the demographics of proto-planetary disks in nearby low-mass star forming regions with the exoplanetary system population. However, it is well known that most stars form in environments exposed to much stronger far-UV (FUV) radiation and therefore, it is questionable that the well studied population of planet forming disks is representative of those in which most exoplanets were assembled. We propose FORS2 red spectroscopic observations to study 14 proto-planetary disks in varying degree of FUV field strengths in the HII region NGC 6357.  These observations will be complemented by recently completed cycle 1 JWST-MIRI program providing 5-28 micron spectroscopy. The FORS2 spectra will provide the missing, but highly desirable, stellar parameters of the host stars allowing an assessment of internal vs external evaporation and better fitting of the disk emission.",Valid,Dr. Arjan Bik,Yes,7.5h
113.269Z,P113,Determining the cooling timescale in a shadowed protoplanetary disk,"The planetary systems detected so far show a great diversity in their architectures, which may originate from the variety of initial conditions for their formation in protoplanetary disks. Disks evolve through a variety of mechanisms, such as planet formation and (magneto-)hydrodynamical instabilities. Theoretical models of these processes and interpretation of disk observations however require strong assumptions to be made on fundamental and unknown disk properties, such as the gas mass and the temperature structure. In this proposal, we aim to observationally measure the cooling timescale of a shadowed protoplanetary disk by obtaining nearly contemporaneous observations of a shadowed disk with SPHERE and ALMA.",Valid,Dr. Myriam Benisty,Yes,8.0h
