Programme ID,Cycle,Title,Abstract,Status,PI,Allocation Status,Allocated Time (h)
109.235N,P109,Characterizing the host stars of proto-planetary disks in extreme radiation environments,"Our knowledge of the formation history of planetary systems is obtained by comparing the demographics of proto-planetary disks in nearby low-mass star forming regions with the exoplanetary system population.  However, it is well known that most stars form in environments exposed to much stronger far-UV (FUV) radiation and therefore, it is questionable that the well studied population of planet forming disks is representative of those in which most exoplanets were assembled. We propose X-shooter and FORS2 observations to study 15 proto-planetary disks in varying degree of FUV field strengths in the HII region NGC 6357.  The X-shooter spectra and FORS2 imaging will provide the stellar properties, extinction, accretion rates and inner disk sizes.  These observations will be complemented by an approved JWST-MIRI program providing 5-28 micron spectroscopy. Both datasets will provide a detailed understanding of the evolution of proto-planetary disks in extreme radiation environments.",Valid,Dr. Arjan Bik,N/A,-
108.21YH,P108,Dust entrainment in a photoevaporative wind,"External photoevaporation is thought to play an important role in protoplanetary disk evolution and dispersal, in particular in regions with strong ambient radiation fields, such as the Orion Nebula Cluster (ONC).  Furthermore, models predict that photoevaporative winds can lead to significant mass loss rates if grain growth is in place in the disk. We propose to observe with MUSE in NFM the well known dd114-426 protoplanetary disk, seen in silhouette against the bright ONC background. The proposed observations will allow us to: (1)  measure dust grain size studying the extinction of the bright background emission by the dust grains present in the translucent disk; (2) use the [OI] line, to kinematically prove that the disk is photoevaporated; (3) as a consequence, prove for the first time that photoevaporative winds can entrain dust grains, and provide constraints on the mass loss rate predicted by theoretical models.  MUSE (in NFM) is the best and only instrument to allow this study.",Valid,Dr. Anna Miotello,N/A,-
108.21WY,P108,Measuring mass loss rates of proplyds in the intermediate UV-radiation field of NGC1977 with MUSE,"The evolution of protoplanetary disks and their ability to form planets is regulated by several processes. In particular, external photoevaporation of disks driven by the ultraviolet (UV) radiation from OB stars at the center of stellar clusters is predicted to severely shorten disk lifetimes. This is a well known effect in massive clusters, like the ONC. Lower-UV radiation fields are instead expected in the majority of planet-forming young stellar clusters. Therefore, it is key to understand the impact of external photoevaporation in low-UV regions, the typical environment of planet formation. We propose here to use MUSE NFM spatially and spectrally resolved observations of the 4 known proplyds in the NGC1977 cluster observable with MUSE to measure the mass loss rate due to photoevaporation in this low-UV radiation environment. We will demonstrate or disprove that considerable mass-loss occurs in low UV-radiation environments, and constrain the models of external photoevaporation.",Valid,Dr. Carlo Felice Manara,N/A,-
108.21YW,P108,MUSE exploration of very low-UV radiation in sigma Orionis: testing disk evolution using proplyds,"Surveys of young stars with disks using ALMA and spectroscopy are giving us a detailed view of disk evolution and, in turn, planet formation. Recent observations and theoretical works are showing that the effect of external photoevaporation due to high energy ultraviolet radiation from massive stars at the center of young stellar clusters plays a significant role in shaping the disk sizes and in shortening their lifetimes, therefore shortening the timescale available to form planets. Previous studies seeking to directly probe externally-induced disk winds have focussed on young star-forming regions; we instead target the intermediate age (3-5 Myr) sigma Orionis cluster. With the unique capabilities of MUSE, we will measure externally-induced photo-evaporation rates and lifetimes of protoplanetary disks in sigma Orionis, and therefore constrain disk physics in a massive, intermediate-aged cluster. This is a unique opportunity to shed light on the mechanism powering accretion in disks.",Valid,Dr. Carlo Felice Manara,N/A,-
108.21WZ,P108,Probing the external photoevaporation of planet-forming discs with CI,"Planets form in stellar clusters where the UV environment can deplete and truncate the planet-forming circumstellar disc. For a long time we have only been able to observe this ""external photoevaporation"" in the most extreme UV environments like the Orion Nebula Cluster, where  unsubtle cometary plumes are launched from the disc. External photoevaporation is predicted to also be important in weaker, intermediate strength UV environments which are more common. However such winds have been difficult to observe since in that case the system may not have a cometary morphology and much of the wind is photodissociation dominated, which cannot be traced by molecules like CO. Conversely, CI is predicted to provide unambiguous signatures of these photoevaporative winds in weak/intermediate UV environments. We propose to use nFLASH for a pilot study to verify this, observing CI 3P1-3P0 emission from the small number of known evaporating discs at the high end of intermediate UV regime.",Valid,Dr. Thomas Haworth,N/A,-
106.213N,P106,A MUSE exploration of the very low-UV radiation sigma Orionis 5 Myr old cluster: testing disk evolution using proplyds,"Surveys of young stars with disks using ALMA and spectroscopy are giving us a detailed view of disk evolution and, in turn, planet formation. Recent observations and theoretical works are showing that the effect of external photoevaporation due to high energy ultraviolet radiation from massive stars at the center of young stellar clusters plays a significant role in shaping the disk sizes and in shortening their lifetimes, therefore shortening the timescale available to form planets. Previous studies seeking to directly probe externally-induced disk winds have focussed on young star-forming regions; we instead target the intermediate age (3-5 Myr) sigma Orionis cluster. With the unique capabilities of MUSE, we will measure externally-induced photo-evaporation rates and lifetimes of protoplanetary disks in sigma Orionis, and therefore constrain disk physics in a massive, intermediate-aged cluster. This is a unique opportunity to shed light on the mechanism powering accretion in disks.",Valid,Dr. Carlo Felice Manara,N/A,-
106.2197,P106,Dust entrainment in a photoevaporative wind,"External photoevaporation is thought to play an important role in protoplanetary disk evolution and dispersal, in particular in regions with strong ambient radiation fields, such as the Orion Nebula Cluster (ONC).  Furthermore, models predict that photoevaporative winds can lead to significant mass loss rates if grain growth is in place in the disk. We propose to observe with MUSE in NFM the well known dd114-426 protoplanetary disk, seen in silhouette against the bright ONC background. The proposed observations will allow us to: (1)  measure dust grain size studying the extinction of the bright background emission by the dust grains present in the translucent disk; (2) use the [OI] line, to kinematically prove that the disk is photoevaporated; (3) as a consequence, prove for the first time that photoevaporative winds can entrain dust grains, and provide constraints on the mass loss rate predicted by theoretical models.  MUSE (in NFM) is the best and only instrument to allow this study.",Valid,Dr. Anna Miotello,N/A,-
106.20YD,P106,Measuring mass loss rates of proplyds in the intermediate UV-radiation field of NGC1977 with MUSE,"The evolution of protoplanetary disks and their ability to form planets is regulated by several processes. In particular, external photoevaporation of disks driven by the ultraviolet (UV) radiation from OB stars at the center of stellar clusters is predicted to severely shorten disk lifetimes. This is a well known effect in massive clusters, like the ONC. Lower-UV radiation fields are instead expected in the majority of planet-forming young stellar clusters. Therefore, it is key to understand the impact of external photoevaporation in low-UV regions, the typical environment of planet formation. We propose here to use MUSE NFM spatially and spectrally resolved observations of the 4 known proplyds in the NGC1977 cluster observable with MUSE to measure the mass loss rate due to photoevaporation in this low-UV radiation environment. We will demonstrate or disprove that considerable mass-loss occurs in low UV-radiation environments, and constrain the models of external photoevaporation.",Valid,Dr. Carlo Felice Manara,N/A,-
106.218X,P106,Probing protoplanetary disk survivability in the harsh environment of the Orion Nebula Cluster with MUSE NFM,"Several processes affect the evolution of protoplanetary disks and, in turn, their ability to form planets. In particular, external photoevaporation of disks driven by the UV radiation from OB stars at the center of stellar clusters is predicted to severely shorten disk lifetimes. Such environments are considered the birthplace for many planetary systems, including our own Solar System. Therefore, a detailed understanding of the impacts of external photoevaporation is key to constraining planet formation scenarios. Here we want to follow up on the first spatially and spectrally resolved images of protoplanetary disks in the harsh environment of the Orion Nebula Cluster obtained with the unprecedented MUSE NFM IFU data. We will provide the first estimates of the mass loss rate of these objects using the resolved kinematic and physical properties obtained with MUSE, in combination with published ALMA estimates of disk radii. From the disk masses we will derive their expected lifetimes.",Valid,Dr. Carlo Felice Manara,N/A,-
106.20WA,P106,Probing the external photoevaporation of planet-forming discs with CI,"Planet formation happens in stellar clusters where the UV environment can deplete and truncate the planet-forming circumstellar disc. For a long time we have only been able to observe this ""external photoevaporation"" in the most extreme UV environments, where  unsubtle cometary plumes are launched from the disc (as for the proplyds in the Orion Nebula Cluster). Recently, Kim et al. (2016) found proplyds using H alpha, in an intermediate UV environment. However more observations and tracers are required to characterise the wind and to identify evaporation in even weaker UV regimes. 

A recent prediction from state of the art models is that CI is an excellent tracer of these photoevaporative winds in weak/intermediate UV environments. We propose to use nFLASH to study CI 3P1-3P0 emission from the Kim et al. (2016) proplyds. This will  both kinematically probe these winds and demonstrate the power of CI for probing external photoevaporation for the first time",Valid,Dr. Thomas Haworth,N/A,-
